"29054300 - Mannitol"
"Résultats  annuels 2025"
"Données brutes, CAF-FAB hors matériel militaire, non estimées des données sous le seuil de collecte et des données tardives"
"Pour les données annuelles : Valeurs en euros, masse en kilogrammes, pas de quantités disponibles pour ce produit "
"Pour les données mensuelles : Valeurs en euros, masse en kilogrammes, pas de quantités disponibles pour ce produit "
"Source : Lekiosque.finances.gouv.fr - Données extraites le : 27/03/2026"

Les données annuelles

"Exportations"
"Zone - Pays";"Valeur 2023";"Masse 2023";"Quantités 2023";"Valeur 2024";"Masse 2024";"Quantités 2024";"Valeur 2025";"Masse 2025";"Quantités 2025"
"Total";130193895;16466818;0;149131913;18840059;0;130594035;16751191;0
"Europe";79463836;9070883;0;91416030;9843151;0;83371059;8931241;0
"UE(27)";62609306;7422263;0;72826481;8015782;0;66594249;7306543;0
"UE14";51350126;6202077;0;58053493;6542917;0;54242409;6130638;0
"Zone Euro";49031625;5957259;0;56110879;6345335;0;50744764;5844801;0
"NEM";11259180;1220186;0;14772988;1472865;0;12351840;1175905;0
"Afrique";579820;61823;0;760334;78496;0;446016;46377;0
"Amérique";24257266;2341968;0;29171553;2761290;0;24104257;2368821;0
"Proche et Moyen-Orient";264370;29976;0;987165;105367;0;959770;91817;0
"Asie";25628603;4962168;0;26796831;6051755;0;21712933;5312935;0
"Europe hors UE";16854530;1648620;0;18589549;1827369;0;16776810;1624698;0
"Etats-Unis d Amérique";17912946;1552450;0;25325877;2281929;0;21071301;1936125;0
"Pays-Bas";8146876;870785;0;16930624;1678569;0;13833798;1337343;0
"Allemagne";12658128;1801017;0;9850543;1291453;0;10136674;1403960;0
"Espagne";10811628;1296730;0;10468076;1208592;0;9220800;1011569;0
"Inde";8105490;1543450;0;10258761;1955880;0;9124684;1985310;0
"Royaume-Uni";9775227;954770;0;12021663;1152071;0;9083133;854831;0
"Italie";9495918;1184650;0;9903215;1224087;0;8574124;1203009;0
"République tchèque";6760127;628412;0;9754101;870345;0;7282243;673916;0
"Japon";7226800;1488775;0;7101041;1896935;0;5663906;1613700;0
"Turquie";5412889;505775;0;4615818;474665;0;5199117;522750;0
"Suède";3339907;339390;0;3672535;346328;0;4489942;384783;0
"Chine";5036217;856436;0;5483119;1247333;0;3890882;909545;0
"Autriche";1657372;161000;0;1953305;145293;0;2134533;143380;0
"Malte";1326377;114402;0;2104696;185259;0;2058535;171980;0
"Autres pays";22527993;3168776;0;19688539;2881320;0;18830363;2598990;0

"Importations"
"Zone - Pays";"Valeur 2023";"Masse 2023";"Quantités 2023";"Valeur 2024";"Masse 2024";"Quantités 2024";"Valeur 2025";"Masse 2025";"Quantités 2025"
"Total";7996918;1548970;0;14001962;3487477;0;14089696;3036355;0
"Europe";3314346;520146;0;3467846;646386;0;3875193;718672;0
"UE(27)";3295438;519669;0;3460444;645497;0;3874874;718644;0
"UE14";3288310;518841;0;3459353;645360;0;3829824;711463;0
"Zone Euro";3288310;518841;0;3459353;645360;0;3829824;711463;0
"NEM";7128;828;0;1091;137;0;45050;7181;0
"Afrique";5341;1110;0;0;0;0;0;0;0
"Amérique";1889234;153551;0;1071082;108511;0;1091258;93049;0
"Asie";2702409;861685;0;9147251;2700965;0;8797352;2184996;0
"Divers non classifiés ailleurs";85588;12478;0;315783;31615;0;325893;39638;0
"Europe hors UE";18908;477;0;7402;889;0;319;28;0
"Chine";2702176;861679;0;9146639;2700910;0;8796177;2184861;0
"Italie";903321;162750;0;1408572;294975;0;2010453;434985;0
"Belgique";1478626;277766;0;1560784;310804;0;1316787;241735;0
"Etats-Unis d Amérique";1889234;153551;0;1071082;108511;0;1091203;93048;0
"Allemagne";811344;69667;0;380302;30526;0;307155;16841;0
"Retour France";80601;12406;0;243719;29112;0;249172;35118;0
"Autres pays";131616;11151;0;190864;12639;0;318749;29767;0

Les données mensuelles
"Pour les données mensuelles : Valeurs en euros, masse en kilogrammes, pas de quantités disponibles pour ce produit "

"Flux";"Variable quantitative";"Libelle pays";"12.2024                  ";"01.2025                  ";"02.2025                  ";"03.2025                  ";"04.2025                  ";"05.2025                  ";"06.2025                  ";"07.2025                  ";"08.2025                  ";"09.2025                  ";"10.2025                  ";"11.2025                  ";"12.2025                  "
"Exportation";"Valeur en euros";"Total";8900274;14431396;12833729;13525172;9493326;12770080;10133325;10161663;7746143;11720769;9795273;9143332;8839827
"Exportation";"Valeur en euros";"Etats-Unis d Amérique";766660;2352225;2533819;3278381;1411623;1753106;1325693;1356402;1178316;2684044;859464;347326;1990902
"Exportation";"Valeur en euros";"Pays-Bas";843662;753694;1101812;1053600;498454;1252285;811952;901670;1364111;2278234;986753;1739048;1092185
"Exportation";"Valeur en euros";"Allemagne";759217;1103654;1006607;774440;818301;936879;835559;807074;788964;942436;440833;793656;888271
"Exportation";"Valeur en euros";"Espagne";581338;1708759;1368860;814957;670533;1131787;432501;732257;126279;428527;962220;116289;727831
"Exportation";"Valeur en euros";"République tchèque";1036811;1151484;472564;455028;370620;937978;414239;1156970;346621;325452;669899;432768;548620
"Exportation";"Valeur en euros";"Inde";255553;154587;335845;1770744;792400;1126451;1468356;1086986;303657;458089;524532;646921;456116
"Exportation";"Valeur en euros";"Japon";468946;662816;970433;292371;290466;1485316;479418;467308;108761;173759;59002;228531;445725
"Exportation";"Valeur en euros";"Italie";501017;728704;637419;987770;1085932;837523;735740;484166;210244;831211;927030;734959;373426
"Exportation";"Valeur en euros";"Danemark";162315;0;151060;151060;0;19200;151060;222818;0;239662;226939;271649;324833
"Exportation";"Valeur en euros";"Chine";538003;462091;102319;449627;332832;423792;457725;168335;181955;428890;353667;211036;318613
"Exportation";"Valeur en euros";"Grèce";51397;199215;142500;114027;148148;114000;168600;71938;54654;228000;148121;114258;265817
"Exportation";"Valeur en euros";"Autriche";119842;206639;110601;202013;232800;224077;10440;211610;253354;10440;289139;131655;251765
"Exportation";"Valeur en euros";"Royaume-Uni";992040;1263420;1232931;324364;498021;650189;916142;650476;994940;787422;510176;1012939;242113
"Exportation";"Valeur en euros";"Malte";215571;510750;221124;0;221103;221103;221103;0;0;0;442206;43;221103
"Exportation";"Valeur en euros";"Turquie";401166;819875;846774;92322;533374;400683;198699;174668;478975;116416;532071;796204;209056
"Exportation";"Valeur en euros";"Irlande";0;174977;0;237382;170371;92351;138780;245006;97764;0;193783;235782;138780
"Exportation";"Valeur en euros";"Pologne";109782;65978;5400;45919;100815;5697;74596;115502;22320;41576;17580;110857;67910
"Exportation";"Valeur en euros";"Indonésie";83498;5704;114822;16842;0;31801;50263;0;32529;54582;0;28783;56830
"Exportation";"Valeur en euros";"Thaïlande";0;0;40126;0;0;5426;0;103;28;28;40234;0;40175
"Exportation";"Valeur en euros";"Corée du Sud";37642;77956;172739;111779;145062;91546;171065;254523;264726;83014;36875;75257;35954
"Exportation";"Valeur en euros";"Finlande";51828;139800;0;0;48656;2877;0;0;0;195446;0;0;33900
"Exportation";"Valeur en euros";"Suède";124270;470817;525626;714178;252512;536778;332535;251298;136374;601914;328633;306654;32623
"Exportation";"Valeur en euros";"Belgique";0;111119;0;0;0;0;128;206;41;0;0;35907;19318
"Exportation";"Valeur en euros";"Israël";34611;13898;0;0;30565;0;0;0;0;9002;8303;17305;16606
"Exportation";"Valeur en euros";"Tunisie";4348;6680;5399;0;17487;6835;0;54750;6860;0;13714;0;13077
"Exportation";"Valeur en euros";"Egypte";5998;13600;11580;0;17010;0;30431;0;0;43250;0;0;8500
"Exportation";"Valeur en euros";"Jordanie";0;0;0;0;0;0;7405;0;0;22480;0;0;7240
"Exportation";"Valeur en euros";"Australie";0;0;0;5834;6335;0;5325;0;21729;0;0;0;5824
"Exportation";"Valeur en euros";"Afrique du Sud";0;19489;0;0;0;0;0;0;0;734;2224;6433;3119
