Année;Pays partenaire;Code NC8;Libellé produit;Flux;Valeur (kEUR);Masse nette (tonnes)
2023;Etats-Unis d Amérique;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Export;1712.6;406.0
2024;Etats-Unis d Amérique;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Export;8405.2;2137.4
2023;Chine;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Export;2686.0;524.0
2024;Chine;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Export;2786.4;524.9
2023;Hongrie;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Export;2809.4;415.4
2024;Hongrie;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Export;3191.8;449.9
2023;Royaume-Uni;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Export;5735.9;1057.4
2024;Royaume-Uni;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Export;4517.3;1000.1
2023;Allemagne;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Export;4124.0;962.3
2024;Allemagne;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Export;4607.0;1152.1
2023;Danemark;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Export;5466.0;935.7
2024;Danemark;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Export;8159.3;1625.5
2023;Inde;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Export;2693.7;386.7
2024;Inde;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Export;3346.6;368.9
2023;Corée du Sud;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Export;2227.7;238.2
2024;Corée du Sud;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Export;3294.3;415.0
2023;République dominicaine;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Export;337.9;61.4
2024;République dominicaine;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Export;1634.5;355.9
2023;Pologne;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Export;2488.2;651.0
2024;Pologne;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Export;2107.0;617.6
2023;Irlande;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Export;3950.7;938.9
2024;Irlande;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Export;2109.8;531.9
2023;Indonésie;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Export;1999.4;401.9
2024;Indonésie;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Export;2744.3;581.6
2023;Pakistan;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Export;1346.2;247.9
2024;Pakistan;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Export;1447.2;280.5
2023;Espagne;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Export;1202.1;249.8
2024;Espagne;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Export;1155.5;273.2
2023;Italie;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Export;1343.6;373.0
2024;Italie;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Export;1288.4;362.5
2023;Autriche;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Export;1094.9;233.6
2024;Autriche;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Export;1215.9;228.4
2023;Allemagne;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Import;3071.1;319.2
2024;Allemagne;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Import;1737.3;386.0
2023;Pays-Bas;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Import;1575.8;308.0
2024;Pays-Bas;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Import;3124.5;276.5
2023;Italie;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Import;1323.1;513.5
2024;Italie;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Import;1514.7;613.3
2023;Brésil;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Import;539.7;53.1
2024;Brésil;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Import;252.6;24.0
2023;Autriche;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Import;1453.1;554.4
2024;Autriche;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Import;1047.5;436.6
2023;Finlande;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Import;1190.7;287.0
2024;Finlande;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Import;809.9;225.0
2023;Irlande;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Import;2402.0;300.7
2024;Irlande;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Import;867.4;83.2
2023;Chine;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Import;499.5;120.1
2024;Chine;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Import;551.7;159.0
2023;Belgique;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Import;1613.2;742.5
2024;Belgique;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Import;584.0;591.0
2023;Espagne;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Import;350.1;85.8
2024;Espagne;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Import;227.6;57.3
2023;Inde;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Import;220.1;17.2
2024;Inde;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Import;122.4;10.5
2023;Retour France;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Import;1233.9;244.8
2024;Retour France;39123100;Carboxyméthylcellulose et ses sels (Croscarmellose Sodium);Import;152.8;21.6
