"39129090 - Cellulose et ses dérivés chimiques, n.d.a., sous formes primaires (à l'excl. des acétates, nitrates, éthers et esters de cellulose)"
"Résultats  annuels 2025"
"Données brutes, CAF-FAB hors matériel militaire, non estimées des données sous le seuil de collecte et des données tardives"
"Pour les données annuelles : Valeurs en euros, masse en kilogrammes, pas de quantités disponibles pour ce produit "
"Pour les données mensuelles : Valeurs en euros, masse en kilogrammes, pas de quantités disponibles pour ce produit "
"Source : Lekiosque.finances.gouv.fr - Données extraites le : 27/03/2026"

Les données annuelles

"Exportations"
"Zone - Pays";"Valeur 2023";"Masse 2023";"Quantités 2023";"Valeur 2024";"Masse 2024";"Quantités 2024";"Valeur 2025";"Masse 2025";"Quantités 2025"
"Total";11711172;483463;0;12558009;842258;0;13926740;1032480;0
"Europe";9352567;285907;0;9569866;513771;0;11341611;769744;0
"UE(27)";8548879;257736;0;8134207;412403;0;10181651;622519;0
"UE14";8155978;250016;0;7763225;373600;0;9700595;583216;0
"Zone Euro";8300989;252542;0;7876031;382646;0;9662986;589490;0
"NEM";392901;7720;0;370982;38803;0;481056;39303;0
"Afrique";1763827;163640;0;2098829;252444;0;1613938;158893;0
"Amérique";349174;18750;0;253982;11417;0;331596;13870;0
"Proche et Moyen-Orient";37821;4232;0;246847;12320;0;99238;10195;0
"Asie";207783;10934;0;383279;52149;0;540325;79777;0
"Divers non classifiés ailleurs";0;0;0;5206;157;0;32;1;0
"Europe hors UE";803688;28171;0;1435659;101368;0;1159960;147225;0
"Portugal";4470586;40181;0;3061546;29553;0;3490738;34168;0
"Italie";2029342;30609;0;2697982;58802;0;3213178;72075;0
"Belgique";398122;71872;0;532602;133423;0;1023899;239338;0
"Algérie";1299346;134585;0;1331195;141514;0;956134;70139;0
"Espagne";363915;45643;0;569982;65055;0;889614;172466;0
"Allemagne";688688;45184;0;478187;8759;0;629821;27861;0
"Turquie";15434;534;0;649229;50263;0;531609;119861;0
"Tunisie";308176;11014;0;660023;104452;0;523603;77459;0
"Corée du Sud";33357;5941;0;272693;48612;0;420349;74656;0
"Serbie";559483;3400;0;365824;2200;0;286009;2375;0
"Pologne";128558;3161;0;83553;2874;0;280401;25632;0
"Autres pays";1416165;91339;0;1855193;196751;0;1681385;116450;0

"Importations"
"Zone - Pays";"Valeur 2023";"Masse 2023";"Quantités 2023";"Valeur 2024";"Masse 2024";"Quantités 2024";"Valeur 2025";"Masse 2025";"Quantités 2025"
"Total";24546127;3213563;0;30191965;3895743;0;30636499;3684036;0
"Europe";14416827;2688407;0;18071229;3178450;0;17399848;2934718;0
"UE(27)";14226961;2645696;0;17997593;3172703;0;17220873;2919630;0
"UE14";14054716;2573329;0;17669583;3024948;0;16814390;2749045;0
"Zone Euro";13759160;2551533;0;17372466;2998385;0;15661955;2726012;0
"NEM";172245;72367;0;328010;147755;0;406483;170585;0
"Afrique";23;0;0;1130;19;0;93442;20050;0
"Amérique";1840088;238091;0;3144216;433576;0;2497810;352452;0
"Proche et Moyen-Orient";16942;1140;0;10303;543;0;7424;504;0
"Asie";8177265;269408;0;8930419;279674;0;10592299;372321;0
"Divers non classifiés ailleurs";94982;16517;0;34668;3481;0;45676;3991;0
"Europe hors UE";189866;42711;0;73636;5747;0;178975;15088;0
"Japon";7331393;121285;0;7760514;111182;0;9233970;168240;0
"Allemagne";8264367;1828804;0;7076552;1649021;0;8968070;1899035;0
"Irlande";3490151;446494;0;7878462;978570;0;4240698;452188;0
"Etats-Unis d Amérique";1404454;94872;0;2700388;413530;0;1583044;128979;0
"Danemark";288574;21440;0;215314;15810;0;1128852;22400;0
"Finlande";1017201;114055;0;1045273;117300;0;919673;121339;0
"Espagne";163441;22989;0;691980;142761;0;653625;125674;0
"Brésil";426121;143041;0;85762;15878;0;557479;218925;0
"Belgique";517841;63238;0;333122;55487;0;519979;51091;0
"Chine";237296;26663;0;316427;29188;0;481200;59109;0
"Autres pays";1405288;330682;0;2088171;367016;0;2349909;437056;0

Les données mensuelles
"Pour les données mensuelles : Valeurs en euros, masse en kilogrammes, pas de quantités disponibles pour ce produit "

"Flux";"Variable quantitative";"Libelle pays";"12.2024                  ";"01.2025                  ";"02.2025                  ";"03.2025                  ";"04.2025                  ";"05.2025                  ";"06.2025                  ";"07.2025                  ";"08.2025                  ";"09.2025                  ";"10.2025                  ";"11.2025                  ";"12.2025                  "
"Exportation";"Valeur en euros";"Total";1499851;958137;601960;907291;1290308;1078175;885470;1766323;1588767;1422362;1179141;1331332;917474
"Exportation";"Valeur en euros";"Italie";24203;319737;49395;345702;259523;601413;30357;299574;52172;296109;343062;338803;277331
"Exportation";"Valeur en euros";"Portugal";565681;1478;40803;6003;488599;369;315523;470283;1047971;402204;311511;238207;167787
"Exportation";"Valeur en euros";"Algérie";10764;195200;85268;7797;8227;241810;82066;70889;0;96083;2419;48344;118031
"Exportation";"Valeur en euros";"Emirats Arabes Unis";0;0;0;0;0;0;612;8990;0;0;0;0;72860
"Exportation";"Valeur en euros";"Espagne";14562;14078;86285;93258;71387;34495;64068;183662;56092;76346;28324;121546;60073
"Exportation";"Valeur en euros";"Belgique";80072;23692;43577;139689;132720;18451;100883;63400;49028;95375;119821;197538;39725
"Exportation";"Valeur en euros";"Turquie";146760;31365;102771;0;27648;98015;0;78608;3909;113482;13151;31038;31622
"Exportation";"Valeur en euros";"Grèce";0;3117;0;1848;3007;0;0;3129;4858;122;6989;4362;20328
"Exportation";"Valeur en euros";"Colombie";0;25789;31391;0;28326;2800;0;0;26140;8195;0;0;18684
"Exportation";"Valeur en euros";"Inde";13845;2844;7463;2765;5451;6681;6389;1738;4582;6001;2212;9464;15803
"Exportation";"Valeur en euros";"Japon";78;0;0;0;78;0;176;19350;0;585;78;0;15428
"Exportation";"Valeur en euros";"Pays-Bas";43409;26996;0;3502;2797;0;3070;3265;7349;1818;11559;1818;14067
"Exportation";"Valeur en euros";"Brésil";49653;19465;889;316;15191;0;9651;6882;9179;0;0;677;10579
"Exportation";"Valeur en euros";"Irlande";0;0;317;0;148615;0;0;0;1358;0;5150;1452;10235
"Exportation";"Valeur en euros";"Egypte";0;0;9730;1649;0;5514;10257;0;0;1331;4605;15665;10119
"Exportation";"Valeur en euros";"Allemagne";125254;32184;51097;67331;52524;8760;48441;69477;55089;102131;14619;119058;9110
"Exportation";"Valeur en euros";"Pologne";12934;52830;1365;15654;33901;17078;16236;11714;19665;31930;46055;25514;8459
"Exportation";"Valeur en euros";"Royaume-Uni";15493;8741;746;14051;896;6585;25364;7929;19190;10411;9737;7894;8230
"Exportation";"Valeur en euros";"Danemark";14486;0;4372;1435;0;14918;9435;19680;0;0;4485;0;3787
"Exportation";"Valeur en euros";"Canada";509;0;1;0;0;0;1;2816;0;0;0;65;1820
"Exportation";"Valeur en euros";"Tunisie";39737;117303;3529;123680;1439;0;105504;446;122398;911;46798;99;1496
"Exportation";"Valeur en euros";"Ouganda";0;0;0;0;0;0;0;0;158;0;0;0;940
"Exportation";"Valeur en euros";"Chine";29021;0;0;0;0;2658;649;3421;0;0;0;0;650
"Exportation";"Valeur en euros";"Maroc";0;79;15481;170;3405;158;7288;830;16000;551;11374;0;158
"Exportation";"Valeur en euros";"Bangladesh";0;79;0;79;0;0;158;0;0;0;0;0;79
"Exportation";"Valeur en euros";"République tchèque";107;0;0;133;28;0;0;0;0;0;5;37;73
"Exportation";"Valeur en euros";"Côte d Ivoire";180;0;78;0;1980;0;0;0;383;0;0;0;0
"Exportation";"Valeur en euros";"Chili";0;0;0;525;0;0;0;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Finlande";24600;0;0;0;97;0;12300;0;36900;0;2620;24600;0
"Exportation";"Valeur en euros";"Guinée";0;0;0;0;0;222;0;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Hong-Kong";68;0;0;0;0;0;0;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Hongrie";0;436;32251;0;0;0;0;0;0;0;0;3390;0
"Exportation";"Valeur en euros";"Australie";60;0;0;320;135;0;199;0;0;128;0;0;0
"Exportation";"Valeur en euros";"Bulgarie";2583;0;220;22763;0;0;3840;41042;3000;627;0;43712;0
